code	name	city	country	latlng	yaid
OUL	Оулу	Оулу	fi	64.93,25.354444	9630149
KSD	Карлстад	Карлштад	se	59.444722,13.3375	9625411
KRF	Крамфорс	Крамфорс	se	63.048611,17.768889	9625581
VXO	Векше	Ваксьё	se	56.929167,14.728056	9630677
KRK	Краков	Краков	pl	50.077778,19.784722	9623724
KID	Кристианстад	Кристианстад	se	56.0267798867,14.1535412062	9625584
AOI	Фалконара	Анкона	it	43.616667,13.360278	9627956
POZ	Лавица	Познань	pl	52.421111,16.826389	9627344
NRN	Нидеррхейн	Дюссельдорф	de	51.6025,6.142222	9630795
TRF	Торп	Осло	no	59.186667,10.258611	9630142
OVD	Астуриас	Астуриас	es	43.563567,-6.034622	9623779
LJU	Любляна	Любляна	si	46.223611,14.4575	9623591
CIY	Комизо		it	37.0,14.6	9628591
VAA	Вааса	Вааса	fi	63.050556,21.762222	9626324
CIA	Чампино	Рим	it	41.799444,12.597222	9624403
FUE	Фуэртевентура	Фуэртевентура	es	28.452778,-13.863889	9623887
BFS	Белфаст	Белфаст	gb	54.6575,-6.215833	9631905
TRS	Дей-Легионари	Триест	it	45.8275,13.472222	9630628
